No.; Tex;Result
998; "RT @kadamkadam801: ابو مقتدى هيج ما ينكدرله انوب رئيس وزراء الله وكيلك يكوم يلطخ راس برأس   #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتو…;False
999; "ياعمي استخبارات ايران متوغله بالعراق جماعات الخميني السعودية حالة وحده  وايران الاف الحالات هه فعلا هاشتاق استخباراتي إيراني  والله مادمر العالم غير ايران حتى ساعدت امريكا في دخول أفغانستان ودمروها عشان يزرعون الحشيش ويهربونه للعراق والعالم العربي  #قاطعوا_المنتوجات_السعوديه;IDK
1000; "RT @sara_as600: رجعوا المزعطة الفوضى والتخريب والاعتداء على رجال الأمن  ولك يا غبي الشرطي منك وبيك اخوك وابن عمك وجيرانك وصديقك  #الجوكر_صن…;False
1001; "RT @Hassann10379597: الله اليستر #قاطعوا_المنتوجات_السعوديه;True
1002; "RT @seadamjd: #قاطعوا_المنتوجات_السعوديه  قطع المنتوج السعودي سيساهم معنا ليس فقط بأمراض كورونا وانما كثيرة هي امراضهم. ك الحقد و التخررريب…;False
1003; "RT @majeed19mjd: #قاطعوا_المنتوجات_السعوديه قاطعوا البضائع السعودية ... الاستمرار في شراء البضائع السعودية مساهمة في قتل ابناء اليمن ...…;False
1004; RT @alialiraqee1: يمكن هوايه بيكم ميدري ان دعم العمليات الارهابية سابقآ كان يتم عن طريق البضائع السعودية.يتم ارسال البضاعة بشكل اصولي للعرا;IDK
1005; "سأخلد الى النوم  اترك لي رسالة أقراها صباحاً   .ت ع خ . . . . . .  .. . . . . . . . . . . . . . .  . .  .. . . . . . . .  #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتوجات_السعوديه #للصدر_الواقع_والمواقع #عراقيون_والزعيم_الصدر_يمثلنا .#جرة_اذن ;IDK
1006; "RT @seadamjd: #قاطعوا_المنتوجات_السعوديه لو بيدي مو بس اقطع المنتوج السعودي مع العراق.. بل اقطع كل صلتنه بها لما سببته من قتل وانفجارات بنا…;False
1007; "RT @masha2z: #قاطعوا_المنتوجات_السعوديه الوقايه خير من مليون  علاج;True
1008; RT @k_ahl: خاف نحجي وتكولون من جماعة الحظن العربي چا هيه السعوديه اذا بيها اثنين تكولون  #قاطعوا_المنتوجات_السعوديه ايران بيها شكد مصابين;IDK
1009; "شباب ماضل منتوج ما قاطعنا والمنتوج الوطني ما يسد الحاجة  جا شناكل حمص #قاطعوا_المنتوجات_السعوديه;True
1010; "أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر مقاطعة المنتوحات الايرانيه..ولكن ماذا نقول للعبيد؟؟.. #العراق;False
1011; RT @alialiraqee1: يمكن هوايه بيكم ميدري ان دعم العمليات الارهابية سابقآ كان يتم عن طريق البضائع السعودية.يتم ارسال البضاعة بشكل اصولي للعرا;N
1012; "شناكل بعد   #قاطعوا_المنتوجات_السعوديه https://t.co/GQpurviR34;IDK
1013; #قاطعوا_المنتوجات_السعوديه كسمكم شلحيت;IDK
1014; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1015; RT @22334455zzz: بس خل الله يسترنا من شر النويشيطات والنواشي;IDK
1016; "#قاطعوا_المنتوجات_السعوديه  دوله الإرهاب ما يجي منهم خير كل شر منهم وبيهم...الحكومه وليس بعض الفئات من الشعب السعودي;IDK
1017; RT @ir_ir3: لسلامتكم وسلامة عائلتكم #قاطعوا_المنتوجات_السعوديه السعودين حاليا https://t.co/WmqjipLbW;IDK
1018; "شنو موضوع هلهاشتاك ؟ #قاطعوا_المنتوجات_السعوديه;IDK
1019; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1020; "#قاطعوا_المنتوجات_السعوديه  هذا ما جناه العراقيين من دوله الإرهاب https://t.co/bBojU8I6wY;IDK
1021; RT @vgovWR7wHD26V5N: شيوخ عموم ال  زياد الشيخ ريسان ال مطشر  الزيادي والشيخ صالح الزيادي  في النجف يحمل مقتدى الصدر وسرايا السلام مسؤوليه ا;IDK
1022; "RT @alialjabery1012: أنباء عن اختطاف رنا الصميدعي ،على من يعثر عليها تسليمها الى اقرب خيمة في ساحة التحرير ،صورها ادنا خاف واحد يشوفها وماي…;IDK
1023; "#قاطعوا_المنتوجات_السعوديه   و الإيرانية هم لان بيها أمراض   تن ترا را را تن تن  ;IDK
1024; "أكلوا من وسخ ايران العفنة ... فعلا مستواكم المجوس عارفه عقولكم تباركوا فيها ،،، تضحك في وجيهكم وتسرق جيوبكم وخيرات بلادكم ،،، لو فيكم خير ماقلوبكم سوادء مليانه حقد وكراهية ،،، الزمن بيعلمكم إنكم من اغباء الشعوب ،،،  #قاطعوا_المنتوجات_السعوديه;False
1025; RT @omar__73: السعودية بلد اقتصادي نفطي صناعي متطور ميأثر عليها تحچيلي على كورونا بيكم خير سدو الحدود وي سرطان المنطقة الي صدرتلنا المرض وا;False
1026; "العيداني قتل أبناء البصرة الشيعه يا من تدعي حبك للشيعه!! العيداني قطع الماء عن البصرة العيداني سرق البصره العيداني قطع الكهرباء عن البصرة العيداني جعل من شباب البصرة يتمنون الموت!!  "" عبيد خامنئي ك عبيد البغدادي أبناء حرام و على استعداد أن يقتلوا محمد وعلي لو أمرهم ربهم الشيطان "";False
1027; RT @omar__73: السعودية بلد اقتصادي نفطي صناعي متطور ميأثر عليها تحچيلي على كورونا بيكم خير سدو الحدود وي سرطان المنطقة الي صدرتلنا المرض وا;False
1028; "RT @kadamkadam801: سأخلد الى النوم  اترك لي رسالة أقراها صباحاً   .ت ع خ . . . . . .  .. . . . . . . . . . . . . . .  . .  .. . . . . . .…;IDK
1029; "RT @haidar_ameery: #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتوجات_السعوديه #للصدر_الواقع_والمواقع #عراقيون_والزعيم_الصدر_يمثلنا . . أفضل…;IDK
1030; "RT @313ss6: بالفيديو : شاهد شفاء احد المرضى بفايروس كورونا في مدينة كرمانشاه وترخيصها من المستشفى وذهابها الى منزلها بصحة وعافية  #قاطعوا_ا…;IDK
1031; "RT @seadamjd: #قاطعوا_المنتوجات_السعوديه لو بيدي مو بس اقطع المنتوج السعودي مع العراق.. بل اقطع كل صلتنه بها لما سببته من قتل وانفجارات بنا…;False
1032; "RT @lbrhshd_Su35: #الحشداوي .. منتج وطني يا أبيض القلب لا تحزن إذا زعموا  ان البياض بهذا العصر تغفيلُ  دع السواد الذي يغشى ضمائرهم   وعش نق…;IDK
1033; "RT @TWofiraq: عبد المهدي يبلغ رئيس الجمهورية والنواب غيابه الطوعي عن منصب رئيس الوزراء #قاطعوا_المنتوجات_السعوديه https://t.co/USbVnRysBF;IDK
1034; "RT @kadamkadam801: ابو مقتدى هيج ما ينكدرله انوب رئيس وزراء الله وكيلك يكوم يلطخ راس برأس   #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتو…;IDK
1035; "شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1036; RT @k_ahl: خاف نحجي وتكولون من جماعة الحظن العربي چا هيه السعوديه اذا بيها اثنين تكولون  #قاطعوا_المنتوجات_السعوديه ايران بيها شكد مصابين;IDK
1037; "RT @TWofiraq: عبد المهدي يبلغ رئيس الجمهورية والنواب غيابه الطوعي عن منصب رئيس الوزراء #قاطعوا_المنتوجات_السعوديه https://t.co/USbVnRysBF;IDK
1038; #قاطعوا_المنتوجات_السعوديه مادرينا عنك;IDK
1039; "اقاطع السعوديه و منتجاتها و حتى الحج بس تابعوني ماعندي متابعين  #قاطعوا_المنتوجات_السعوديه;IDK
1040; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1041; RT @alialiraqee1: يمكن هوايه بيكم ميدري ان دعم العمليات الارهابية سابقآ كان يتم عن طريق البضائع السعودية.يتم ارسال البضاعة بشكل اصولي للعرا;N
1042; RT @_iraq_90: حكام آل سلول تاريخهم حافل بالخيانه والغدر  لطالما كانوا مصدرا للارهاب والمؤامرات  يقتلون اطفال #اليمن بدم بارد يحاصرون شعبا ط;False
1043; "RT @Stefani57720996: من المعيب على عراقي يعرف هذا المنتوج سعودي ويشتريه منتوجات مغمسه بالدم العراقي               انا اقول ليس فقط #قاطعوا_…;False
1044; "RT @lbrhshd_Su35: #الحشداوي .. منتج وطني يا أبيض القلب لا تحزن إذا زعموا  ان البياض بهذا العصر تغفيلُ  دع السواد الذي يغشى ضمائرهم   وعش نق…;IDK
1045; "RT @Ahme82_iq: لولا ان الله فضح فرعون في القرآن الكريم  لكنا اليوم ندرس بطولات #الشهيد فرعون الذي غرق وهو يلاحق الارهاب هكذا تحرف #السعوديه…;N
1046; "من اغباء الشعوب ( الفايرويس لاينتقل في البضائع ) حينما تسجل كمية الحقد والكراهية مع مخ غبي فعلا ايران عرفت كيف تختار ،،،  #قاطعوا_المنتوجات_السعوديه;IDK
1047; "#قاطعوا_المنتوجات_السعوديه  شنو هالمسخره...شر البلية مايضحك;IDK
1048; "١٤٠٠ حالة بايران عادي ١ حالة بالسعودية نقاطعهم انتو عبيد لو شنو ؟   #قاطعوا_المنتوجات_السعوديه;IDK
1049; "RT @8QEX789: شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1050; "RT @pppoooalbady: وكفوء على هل الوجبه الدسمه #قاطعوا_المنتوجات_السعوديه https://t.co/tIrZIfXzyx;IDK
1051; "RT @TWofiraq: عبد المهدي يبلغ رئيس الجمهورية والنواب غيابه الطوعي عن منصب رئيس الوزراء #قاطعوا_المنتوجات_السعوديه https://t.co/USbVnRysBF;IDK
1052; "#قاطعوا_المنتوجات_السعوديه نصيحة لايتام قاسم سليماني بما انكم تجمعتم هنا جربوا هذه المنتجات المصنوعة سعوديا ومنتشرة في كل العالم  ونصيحة خلوها بااااااردة في الثلاجة وكلوها بعد الغداء  https://t.co/jqWWZSqs3G;N
1053; "RT @8QEX789: شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1054; "#قاطعوا_المنتوجات_السعوديه  المنتوجات السعودية من حليب وچبس وشامپو تجدها في ثلاث او اربع دول عربية ... أما عالميًا عندهم منتج كارثي واحد هو الوهابية وتم منعه ومقاطعته وتحريمه دوليًا لما يحتوي من وحشية وإرهاب وكراهية هددت السلم والأمن العالمي .;False
1055; "RT @kadamkadam801: سأخلد الى النوم  اترك لي رسالة أقراها صباحاً   .ت ع خ . . . . . .  .. . . . . . . . . . . . . . .  . .  .. . . . . . .…;IDK
1056; "RT @kadamkadam801: ابو مقتدى هيج ما ينكدرله انوب رئيس وزراء الله وكيلك يكوم يلطخ راس برأس   #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتو…;IDK
1057; RT @k_ahl: خاف نحجي وتكولون من جماعة الحظن العربي چا هيه السعوديه اذا بيها اثنين تكولون  #قاطعوا_المنتوجات_السعوديه ايران بيها شكد مصابين;IDK
1058; "RT @8QEX789: شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1059; "RT @AljafariaWafaa: #قاطعوا_المنتوجات_السعوديه وخصوص منتجات الالبان المراعي لان العمال الصينين هم اكثر العمال في السعودية واكيد انهم يحملون…;IDK
1060; "نعقاطع المنتجات السعوديه تمام انا وياكم بهاي الخطوة زين ليش احنا فاتحين الحدود ويا ايران هسه وجاي تعبر سلع ايران للعراق وايران نفسها الي انتشر منها المرض حسب تقارير  #قاطعوا_المنتوجات_السعوديه;N
1061; "RT @8QEX789: شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1062; "RT @8QEX789: شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1063; RT @omar__73: السعودية بلد اقتصادي نفطي صناعي متطور ميأثر عليها تحچيلي على كورونا بيكم خير سدو الحدود وي سرطان المنطقة الي صدرتلنا المرض وا;False
1064; "#قاطعوا_المنتوجات_السعوديه أعرف أن الهاشتاق من ذيول #ايران بالعراق ..  ولكن أمنيتي كمواطن سعودي أن يعود #العراق  لمجده فمكان العراق الحقيقي في صدارة الدول العربية فهو جمجمة العرب وحارس بوابة الشرق .. آن الآوان لينهض العراق ويعود.. فشعب #العراق  العظيم بجميع مكوناته يستحق ذلك ;False
1065; "RT @Batool_80_B: أكاد أجزم إن الكرامة ليست ملكة فأنت ترفض مقاطعة منتجات دولة راعية للإرهاب بجدارة فقط لأنهم(عرب) دع عروبتك تنفعك حين يتم تف…;IDK
1066; "RT @abbaschamsuddin: ترشيح العيداني قد يكون آخر أمل لاحتفاظ الشيعة بمنصب رئيس الوزراء  #قاطعوا_المنتوجات_السعوديه;IDK
1067; "RT @alialjabery1012: أنباء عن اختطاف رنا الصميدعي ،على من يعثر عليها تسليمها الى اقرب خيمة في ساحة التحرير ،صورها ادنا خاف واحد يشوفها وماي…;IDK
1068; بعيدا عن الطائفية والعاطفة.. خلونا نحجي واقع.. المنتجات السعودية الغالبية العظمى منها امتياز اما أمريكي او غربي يعني درجة ممتازة او أولى.. طيب منتجات إيران شنو امتيازها صيني لو تايلندي لو كوري شمالي؟ شوية ارتقوا مو فضحتونا #قاطعوا_المنتوجات_السعودي;True
1069; "جماعه #علاء_الركابي يعتدون على متظاهري بغداد  #قاطعوا_المنتوجات_السعوديه https://t.co/LF7tG4zHkz;IDK
1070; "RT @pppoooalbady: معا لعراق بدون فيروس كورونا #قاطعوا_المنتوجات_السعوديه;IDK
1071; "RT @abbaschamsuddin: ترشيح العيداني قد يكون آخر أمل لاحتفاظ الشيعة بمنصب رئيس الوزراء  #قاطعوا_المنتوجات_السعوديه;IDK
1072; "RT @mabafather: للامان  #قاطعوا_المنتوجات_السعوديه;IDK
1073; "RT @sara_as600: جماعه #علاء_الركابي يعتدون على متظاهري بغداد  #قاطعوا_المنتوجات_السعوديه https://t.co/LF7tG4zHkz;IDK
1074; "RT @8QEX789: شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1075; "RT @sara_as600: جماعه #علاء_الركابي يعتدون على متظاهري بغداد  #قاطعوا_المنتوجات_السعوديه https://t.co/LF7tG4zHkz;IDK
1076; "RT @mabafather: للامان  #قاطعوا_المنتوجات_السعوديه;IDK
1077; RT @atgOaX1XQ9yv6uC: الفتنه بعضها من بعض تعتيم أعلامي عن فايروس كارونا في السعوديه حتى في الاعلام المتناغم مع طروحاتهم  #قاطعوا_المنتوجات_ا;IDK
1078; "RT @abbaschamsuddin: ترشيح العيداني قد يكون آخر أمل لاحتفاظ الشيعة بمنصب رئيس الوزراء  #قاطعوا_المنتوجات_السعوديه;IDK
1079; "RT @AljafariaWafaa: #قاطعوا_المنتوجات_السعوديه وخصوص منتجات الالبان المراعي لان العمال الصينين هم اكثر العمال في السعودية واكيد انهم يحملون…;IDK
1080; لا تـ #قاطعوا_المنتوجات_السعودي;True
1081; "RT @HBash980: سيزول قلق هذا الفايروس المنحوس سريعاً، موفقون والسلام عليكم ورحمة الله وبركاته..  #السيد_القائد_الخامنئي  وجهك طمأنينة سيدنا…;IDK
1082; "RT @alialjabery1012: أنباء عن اختطاف رنا الصميدعي ،على من يعثر عليها تسليمها الى اقرب خيمة في ساحة التحرير ،صورها ادنا خاف واحد يشوفها وماي…;IDK
1083; "RT @pppoooalbady: وكفوء على هل الوجبه الدسمه #قاطعوا_المنتوجات_السعوديه https://t.co/tIrZIfXzyx;IDK
1084; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1085; "RT @Hassann10379597: الله اليستر #قاطعوا_المنتوجات_السعوديه;IDK
1086; RT @omar__73: السعودية بلد اقتصادي نفطي صناعي متطور ميأثر عليها تحچيلي على كورونا بيكم خير سدو الحدود وي سرطان المنطقة الي صدرتلنا المرض وا;False
1087; "RT @pppoooalbady: هيبة رجال الله الحشد الشعبي ببرائة الطفوله تحكي هذه الطفله ماذا فعل اولاد العواهر داعش بأهلها وهي تدعوا من قلبها لابطال ا…;N
1088; "RT @pppoooalbady: معا لعراق بدون فيروس كورونا #قاطعوا_المنتوجات_السعوديه;True
1089; RT @omar__73: السعودية بلد اقتصادي نفطي صناعي متطور ميأثر عليها تحچيلي على كورونا بيكم خير سدو الحدود وي سرطان المنطقة الي صدرتلنا المرض وا;False
1090; "RT @haidar_ameery: #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتوجات_السعوديه #للصدر_الواقع_والمواقع #عراقيون_والزعيم_الصدر_يمثلنا . . أفضل…;IDK
1091; "RT @kadamkadam801: ابو مقتدى هيج ما ينكدرله انوب رئيس وزراء الله وكيلك يكوم يلطخ راس برأس   #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتو…;IDK
1092; "RT @kadamkadam801: سأخلد الى النوم  اترك لي رسالة أقراها صباحاً   .ت ع خ . . . . . .  .. . . . . . . . . . . . . . .  . .  .. . . . . . .…;IDK
1093; "@raa313m أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر مقاطعة المنتوحات الايرانيه..ولكن ماذا نقول للعبيد؟؟.. #العراق;IDK
1094; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1095; "@samahassaf أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر مقاطعة المنتوحات الايرانيه..ولكن ماذا نقول للعبيد؟؟.. #العراق;IDK
1096; "RT @alialjabery1012: أنباء عن اختطاف رنا الصميدعي ،على من يعثر عليها تسليمها الى اقرب خيمة في ساحة التحرير ،صورها ادنا خاف واحد يشوفها وماي…;IDK
1097; #قاطعوا_المنتوجات_السعوديه اذا صنتعم يحق لكم وقتها تقاطعون ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه;IDK
1098; RT @k_ahl: خاف نحجي وتكولون من جماعة الحظن العربي چا هيه السعوديه اذا بيها اثنين تكولون  #قاطعوا_المنتوجات_السعوديه ايران بيها شكد مصابين;N
1099; "RT @Batool_80_B: أكاد أجزم إن الكرامة ليست ملكة فأنت ترفض مقاطعة منتجات دولة راعية للإرهاب بجدارة فقط لأنهم(عرب) دع عروبتك تنفعك حين يتم تف…;IDK
1100; "@lov_mahmud9o أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر مقاطعة المنتوحات الايرانيه..ولكن ماذا نقول للعبيد؟؟.. #العراق;IDK
1101; "RT @mabafather: للامان  #قاطعوا_المنتوجات_السعوديه;IDK
1102; RT @alialiraqee1: يمكن هوايه بيكم ميدري ان دعم العمليات الارهابية سابقآ كان يتم عن طريق البضائع السعودية.يتم ارسال البضاعة بشكل اصولي للعرا;IDK
1103; "RT @kadamkadam801: ابو مقتدى هيج ما ينكدرله انوب رئيس وزراء الله وكيلك يكوم يلطخ راس برأس   #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتو…;False
1104; "RT @lbrhshd_Su35: #الحشداوي .. منتج وطني يا أبيض القلب لا تحزن إذا زعموا  ان البياض بهذا العصر تغفيلُ  دع السواد الذي يغشى ضمائرهم   وعش نق…;IDK
1105; "RT @kadamkadam801: ابو مقتدى هيج ما ينكدرله انوب رئيس وزراء الله وكيلك يكوم يلطخ راس برأس   #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتو…;IDK
1106; "RT @alialjabery1012: أنباء عن اختطاف رنا الصميدعي ،على من يعثر عليها تسليمها الى اقرب خيمة في ساحة التحرير ،صورها ادنا خاف واحد يشوفها وماي…;IDK
1107; "شوفو الحمير ابناء شعبنا العراقي المعفن  الكورونا منتشر بايران وحاليا بيها اكثر من 1500 شخص مصاب .. يطلعون هذا الهاشتاق يكولون السعوديه بيها كورونا ولكم شنو عقولكم بيها تبن السعوديه بيها مصاب واحد وراح يتعالج وانتو تدافعون عن ايران بيها 1500 شخص مصاب #قاطعوا_المنتوجات_السعوديه;N
1108; RT @zahraa_Magdy_: قبل أن تشتري منتج سعودي تذكر أن الأموال تذهب للعميل محمد بن سلمان وزمرته تذكر أن الأموال تذهب لشراء أسلحة لقتل أطفال الي;False
1109; "قبل متقاطع التركي والسعودي والاردني او حتى الكويتي روح شوف الكارثه بأيران والاصابات وانتشار الوباء السريع والتكتيم الاعلامي وسد الحدود وياها ، وراها من تأمن نفسك ارجع لهاي الامور وقاطع براحتك ، سلامه بلدنا والشعب حالياً اهم من حبك وكرهك لأي دوله. #قاطعوا_المنتوجات_السعوديه;N
1110; RT @omar__73: السعودية بلد اقتصادي نفطي صناعي متطور ميأثر عليها تحچيلي على كورونا بيكم خير سدو الحدود وي سرطان المنطقة الي صدرتلنا المرض وا;False
1111; "RT @kadamkadam801: سأخلد الى النوم  اترك لي رسالة أقراها صباحاً   .ت ع خ . . . . . .  .. . . . . . . . . . . . . . .  . .  .. . . . . . .…;IDK
1112; RT @alialiraqee1: يمكن هوايه بيكم ميدري ان دعم العمليات الارهابية سابقآ كان يتم عن طريق البضائع السعودية.يتم ارسال البضاعة بشكل اصولي للعرا;N
1113; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1114; "RT @kadamkadam801: ابو مقتدى هيج ما ينكدرله انوب رئيس وزراء الله وكيلك يكوم يلطخ راس برأس   #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتو…;False
1115; RT @alialiraqee1: يمكن هوايه بيكم ميدري ان دعم العمليات الارهابية سابقآ كان يتم عن طريق البضائع السعودية.يتم ارسال البضاعة بشكل اصولي للعرا;N
1116; اذا هو بوت شعنده نازل بلمطار ورطله  تيم كامل #قاطعوا_المنتوجات_السعودي;IDK
1117; "RT @8QEX789: شنو ديصير ممكن أحد يفهمنا جماعة #علاء_الركابي يتعاركون مع المتظاهرين؟؟!!  #قاطعوا_المنتوجات_السعوديه https://t.co/jNKKyXSwp2;IDK
1118; "RT @husseiNn33313: #قاطعوا_المنتوجات_السعوديه احصائية كورونا  من 80 سنة فما فوق نسبة الشفاء 85،2%  من 70 الى 79 سنة نسبة الشفاء 92%  من 60…;IDK
1119; "RT @abbaschamsuddin: ترشيح العيداني قد يكون آخر أمل لاحتفاظ الشيعة بمنصب رئيس الوزراء  #قاطعوا_المنتوجات_السعوديه;IDK
1120; "RT @HBash980: سيزول قلق هذا الفايروس المنحوس سريعاً، موفقون والسلام عليكم ورحمة الله وبركاته..  #السيد_القائد_الخامنئي  وجهك طمأنينة سيدنا…;True
1121; "RT @AljafariaWafaa: #قاطعوا_المنتوجات_السعوديه وخصوص منتجات الالبان المراعي لان العمال الصينين هم اكثر العمال في السعودية واكيد انهم يحملون…;IDK
1122; "#شني_هاي الجماعة بعدهم ما أستلموا منصب ولا شكلو حكومة ويومية عالگة بيناتهم بالتواثي يوم على حلـ(طوووط) ويوم على النفق زين اذا صارت بيها مناصب شلون ؟؟  #ملاحظة // عذراً على قطع الصوت بسبب بعض الألفاظ إلا اخلاقية . #استقاله_الحلبوسي_مطلب_الثوار #قاطعوا_المنتوجات_السعوديه https://t.co/CX0PnYPI7M;IDK
1123; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1124; "RT @haidar_ameery: #استقاله_الحلبوسي_مطلب_الثوار  #قاطعوا_المنتوجات_السعوديه #للصدر_الواقع_والمواقع #عراقيون_والزعيم_الصدر_يمثلنا . . أفضل…;IDK
1125; RT @22Dldar: شاهدوا إرهاب خفر السواحل اليوناني ضد زورق مطاطي جلهم من الأطفال والنساء كانوا ينون الهجرة الى أوروبا. هذا هو الغرب المنافق الس;IDK
1126; "عراقي اشتغل تكسي بالسويد صعدوا وياه عراقيين سألو مو صعبة تسوق والاستيرن يمنه .. كال لا والله ع سياقة ماكو مشكلة تعودت بس مرات انسى وأتفل ع الراكب الي بصفي مثل جماعتنا المتظاهرين الشيعة تركوا #استقاله_الحلبوسي_مطلب_الثوار وگام يتفلون علينة #قاطعوا_المنتوجات_السعوديه;IDK
1127; RT @alialiraqee1: يمكن هوايه بيكم ميدري ان دعم العمليات الارهابية سابقآ كان يتم عن طريق البضائع السعودية.يتم ارسال البضاعة بشكل اصولي للعرا;IDK
1128; "RT @alialjabery1012: أنباء عن اختطاف رنا الصميدعي ،على من يعثر عليها تسليمها الى اقرب خيمة في ساحة التحرير ،صورها ادنا خاف واحد يشوفها وماي…;IDK
1129; "RT @alialjabery1012: أنباء عن اختطاف رنا الصميدعي ،على من يعثر عليها تسليمها الى اقرب خيمة في ساحة التحرير ،صورها ادنا خاف واحد يشوفها وماي…;IDK
1130; #قاطعوا_المنتوجات_السعوديه ألترند ألعراقي ألأن لكن سؤال أين هي ألمنتجات ألسعودية ؟؟ كان ألأفضل مقاطعة كافة ألمنتجات و دعم  ألمنتج ألوطني كما فعل ثوار أكتوب;IDK
1131; "RT @abbaschamsuddin: ترشيح العيداني قد يكون آخر أمل لاحتفاظ الشيعة بمنصب رئيس الوزراء  #قاطعوا_المنتوجات_السعوديه;IDK
1132; RT @ALMAYAHI_313: #شني_هاي الجماعة بعدهم ما أستلموا منصب ولا شكلو حكومة ويومية عالگة بيناتهم بالتواثي يوم على حلـ(طوووط) ويوم على النفق زين;IDK
1133; "قاطعوها لانها تذهب للإرهاب  #قاطعوا_المنتوجات_السعوديه;IDK
1134; RT @Dr_Magid1987: أيتام قاسم سليماني يطلقون هذا الهاشتاك #قاطعوا_المنتوجات_السعوديه في حين الجميع يعلم ان بؤرة كورونا في #ايران وكان الاجدر;IDK
1135; "ليش شبيها  #قاطعوا_المنتوجات_السعوديه;IDK
1136; ذيول إيران يحاولون رفع معنويات اسيادهم المنهارة من خلال الترويج لفكرة بائسة وفاشلة ضمن دعوة #قاطعوا_المنتوجات_السعودي;False
